Catalog Number,Alternative Number,Source,Species Group,Sex,Country,State/Province,County,Locality,Longitude,Latitude,Sample Type
ABX005,,LMUSP,guyannensis,F,Brazil,Amazonas,Borba,"Comunidade Maruim, margem esquerda Rio Abacaxis,margem direita Rio Madeira",-58.63314,-4.31203,FR
ABX020,,LMUSP,guyannensis,F,Brazil,Amazonas,Nova Olinda do Norte,"Acima da Comunidade Maruim, margem esquerda Rio Abacaxis, margem direita Rio Madeira",-58.63442,-4.34328,FR
AMCC112987,USNM448733,AMNH-AMCC,trinitatis,F,Venezuela,Zulia,No information,Mision Tukuko,-72.8091,9.84363,FR
AMCC112999,USNM448711,AMNH-AMCC,guyannensis,M,Venezuela,Bolivar,No information,San Ignacio Yuruani,-61.09269,5.07502,FR
AMCC114577,MUSM23828,AMNH-AMCC,gardneri,NA,Peru,Loreto,Requena,Jenaro Herrera [=Genaro Herrera],-73.66744,-4.90625,FR
AMCC176080,JOG4488; EBRG25473,AMNH-AMCC,trinitatis,NA,Venezuela,Fálcon,Península de Paraguaná,"Cerro Santa Ana, ca. 4 Km N Santa Ana",-69.95012,11.81811,FR
AMNH269123,LHE1163,AMNH-AMCC,longicaudatus,M,French Guyana,Cayenne,Sinnamary,"Paracou, near Sinnamary",-52.92366,5.27438,FR
AMNH272700,RSV2095,AMNH-AMCC,longicaudatus,M,Peru,Loreto,Alto Amazonas,"Nuevo San Juan, Río Galvez",-73.16208,-5.2495,FR
C247647,C247647-6738,MZUSP,goeldii,M,Brazil,Mato Grosso,Colider,"Rancho do Rogério, Margem esquerda do Rio Teles Pires,",-56.51269,-9.45183,FR
CIT393,PEU960065,CIT,longicaudatus,NA,Brazil,Mato Grosso,Aripuanã,No information,-59.44718,-10.17484,FR
CIT448,M968498,CIT,longicaudatus,F,Brazil,Mato Grosso,Apiacás,No information,-57.39563,-9.5678,FR
CTA1028,YL53,CTA-UFES,Euryzygomatomys spinosus,M,Brazil,Minas Gerais,No information,No information,-43.5,-20.083,FR
CTA1415,MVZ197661; LPC462,CTA-UFES,longicaudatus,M,Brazil,Mato Grosso,Barra do Garças,"Fazenda São Luis, 30 km N Barra do Garças",-52.35583,-15.63333,FR
CTA1511,UFMG3029,CTA-UFES,guyannensis,F,Brazil,Mato Grosso,Alta Floresta,"Reserva Ecológica Cristalino, 40 km N Alta Floresta",-55.93028,-9.59694,FR
CTA1517,MVZ197575; LPC564,CTA-UFES,goeldii,F,Brazil,Mato Grosso,Alta Floresta,"Reserva Ecológica Cristalino, 40 km N Alta Floresta",-55.93028,-9.59694,FR
CTA4195,MPEG42380; SLF225,CTA-UFES,guyannensis,F,Brazil,Pará,Oriximiná,"Porto de Trombetas, Platô Bacaba",-56.36422,-1.79591,FR
CTA4245,MPEG42367,CTA-UFES,longicaudatus,F,Brazil,Pará,Oriximiná,"Porto de Trombetas, Platô Bacaba",-56.36422,-1.79591,FR
CTA4352,UFES2705,CTA-UFES,gardneri,F,Brazil,Amazonas,Autazes,"Fazenda Vista Alegre, Trilha Bananal",-59.1306,-3.57972,FR
CTA4363,UFES2834,CTA-UFES,gardneri,M,Brazil,Amazonas,Autazes,"Trilha da Estrada, Urucurituba",-59.1306,-3.57972,FR
CTA4371,UFES2842,CTA-UFES,goeldii,F,Brazil,Amazonas,Autazes,"Margem direita do Rio Madeira, Urucurituba",-59.1306,-3.57972,FR
CTA4390,UFES2945; BM74724,CTA-UFES,guyannensis,M,Brazil,Pará,Vitória do Xingu,Margem esquerda do Rio Xingu,-51.77012,-3.12428,FR
EEB1013,,LMUSP,Trinomys dimidiatus,F,Brazil,São Paulo,No information,No information,-44.368,-22.80657,FR
FMNH175255,UPE133,FMNH,longicaudatus,F,Peru,Madre de Dios,Manu,"Maskoitania, 13.4 km NNW Atalaya, left bank Rio Alto Madre de Dios",-71.38542,-12.77165,FR
FMNH175275,UPE231,FMNH,simonsi,F,Peru,Cusco,Paucartambo,"Consuelo, 15.9 km SW Pilcopata",-71.49185,-13.02362,FR
FMPS010,,LMUSP,Clyomys laticeps,NA,Brazil,Mato Grosso do Sul,No information,No information,-57.65317,-18.99968,FR
